plot,browse_index,lat,elev_m,dist_h2o_m,hilltop,swamp,wetland_forest,tall_shrubs,dist_conifer_m,hemlock_ba,sugar_maple_ba,red_maple_ba,spruce_fir_ba,oak_ba,white_pine_ba,harvest_intensity_m2/ha,watershed,deer_density,harvest,dist_dev_m
45,45.66115702,4702553.352,280,182,0,0,0,0,216,0,0,0,0,82,15,NA,0,1.2,1,1000
51,0,4686139,202,396,0,0,0,6,391,0,0,9,0,63,8,0,0,3,0,206
54,0,4692800,293,172,0,0,0,2,248,0,21,40,0,0,2,0,0,NA,0,896
61,42.14876033,4700368.573,277,349,0,0,0,9,167,0,0,61,0,1,5,0,1,NA,0,673
64,77.7892562,4696612.276,230,185,0,0,0,0,8,54,0,4,0,24,18,0,0,NA,0,1000
66,10.95041322,4699524.566,266,710,0,0,0,16,23,0,4,38,0,9,10,0,1,NA,0,842
75,27.89256198,4698096.28,243,418,0,0,0,12,27,0,0,29,0,37,6,0,1,NA,0,342
80,0,4695224.611,176,146,0,0,0,0,36,84,0,11,0,0.3,4,49.7,0,4.7,1,341
81,0,4694758,187,138,0,0,0,0,75,52,0,1,0,10,34,101.9,0,4.7,1,1000
84,19.73140496,4693963.383,260,267,0,0,0,8,74,0,0,88,0,3,5,0,0,1.2,0,1000
90,83.26446281,4701714,316,380,0,0,0,0,421,0,0,2,0,32,61,91.4,0,1.2,1,1000
92,0,4692566,279,428,0,0,0,0,305,0,0,8,0,91,0.4,0,0,4.7,0,221
100,67.14876033,4700645.37,295,188,0,0,0,0,11,28,0,10,0,16,23,0,1,NA,0,1000
102,0,4706730,240,379,0,0,0,0,425,0,0,0.3,0,2,16,9.1,0,4.8,1,307
103,18.0785124,4708639.266,244,364,0,0,0,3,224,0,0,29,0,21,4,0,0,4.8,0,510
104,57.43801653,4705550,255,569,0,0,0,10,77,0,0,0.8,0,6,86,134,0,4.8,1,955
105,0,4694730,222,595,0,0,0,6,65,0,0,86,0,0,4,0,0,4.7,0,1000
107,12.19008264,4692976.796,285,338,0,0,0,0,202,0,0,2,0,95,2,0,0,1.2,0,1000
108,16.73553719,4690352.747,209,205,0,0,0,0,318,0,0,38,0,69,4,0,0,1.2,0,1000
113,0,4699694,208,173,0,0,0,1,152,0,0,2,0,19,63,0,1,NA,0,856
115,86.98347107,4698973.074,239,248,0,0,0,10,64,0,0,22,0.2,10,43,45.8,1,NA,1,721
119,97.52066116,4697466.045,269,186,0,0,0,0,0,0,0,0.9,0,1,96,0,1,NA,0,1000
120,11.88016529,4695930.369,272,95,0,0,0,0,0,0,0,3,0,2,43,0,1,NA,0,832
125,0,4691639,296,165,0,0,0,0,859,0,0,5,0,15,76,0,0,4.7,0,851
130,0,4689802,226,75,0,0,0,1,1095,27,0,9,0,31,0,0,0,4.7,0,580
133,100.8264463,4703130.046,268,350,0,0,0,1,108,0.3,0,45,0,0.3,1,0,1,NA,0,333
134,51.75619835,4704060,268,413,0,0,0,3,89,0,0,5,0,91,2,45.9,1,NA,1,384
136,11.57024793,4703803,280,231,0,0,0,0,104,16,0,0,0,9,51,127.8,1,NA,1,458
141,0,4708151,180,209,0,0,0,26,49,0,0,19,0,41,41,0,0,1.9,0,1000
147,0,4712214,167,19,0,0,0,4,70,12,0,0.6,0,76,11,0,0,NA,0,655
153,0,4713375,216,36,0,0,0,1,0,53,0,0.4,0,23,23,0,0,NA,0,347
155,0,4713545,186,296,0,0,0,0,0,21,0,2,0,0,77,16,0,NA,1,342
156,13.32644628,4682871.872,205,984,0,0,0,1,589,0,0,28,0,26,0.6,0,0,NA,0,691
157,0,4684086,190,239,0,0,0,0,0,0,0,4,0,0.4,78,39.9,0,NA,1,115
160,0,4703665,367,43,0,0,0,0,75,0.9,0,5,0,18,76,0,0,NA,0,274
162,55.78512397,4704815.017,301,265,0,0,0,0,40,1,15,71,0,0,0,31.6,1,NA,1,325
166,0,4697815,225,390,0,0,0,0,165,1,0,1,0,11,24,80.1,0,4.7,1,659
168,3.099173554,4697830.354,195,190,0,0,0,0,115,0,0,3,0,66,14,48.3,0,4.8,1,1000
170,12.19008264,4708361,283,446,0,0,0,1,6,29,0,67,0,4,0,0,0,NA,0,1000
171,5.371900826,4703168,295,241,0,0,0,1,109,0,0,5,0,0.07,54,0,0,NA,0,249
174,36.26033058,4702665,205,305,0,0,0,2,35,44,0,9,0,41,0,0,0,4.8,0,591
176,0,4689970,185,225,0,0,0,10,769,0,0,5,0,53,41,60.9,0,NA,1,1000
180,0,4709151,298,194,0,0,0,1,80,0,0,4,0,30,66,38.6,1,NA,1,56
182,62.80991736,4687704.651,235,231,0,0,0,2,288,0,60,1,0,0,28,70.8,0,NA,1,993
185,3.099173554,4698582,268,511,0,0,0,9,183,0,0,80,0,0,11,0,0,3,0,1000
186,0,4709738,243,505,0,0,0,0,193,0,0,18,0,63,8,0,0,1.9,0,1000
187,0,4710001,203,310,0,0,0,0,132,37,0,2,0,9,0,0,0,1.9,0,725
195,0,4709242.731,334,360,0,0,0,0,77,33,0,11,0,23,29,0,1,NA,0,204
206,7.644628099,4708828.949,322,447,0,0,0,1,201,0,20,4,0,0.5,0,0,1,NA,0,275
