plot,species,dbh_cm,count,browsed,stripped,broken
45,black birch,NA,1,0,0,0
45,chestnut,NA,1,1,0,0
45,black birch,2.5,1,1,0,0
45,black birch,3.4,1,0,0,0
45,black birch,3.8,1,0,0,0
45,black birch,8.4,1,0,0,0
45,black birch,9,1,1,0,0
45,black birch,11.2,1,0,0,0
45,red oak,47.7,1,NA,0,0
45,red oak,63.3,1,NA,0,0
45,white oak,42.4,1,NA,0,0
45,white pine,14.9,1,NA,0,0
45,white pine,17.5,1,NA,0,0
45,white pine,20.5,1,NA,0,0
45,white pine,20.9,1,NA,0,0
51,high bush blueberry,NA,6,0,0,0
51,red maple,3,1,0,0,0
51,red maple,9,1,NA,0,0
51,red maple,12.2,1,NA,0,0
51,red maple,13,1,0,0,0
51,red maple,13.9,1,NA,0,0
51,red maple,15.9,1,NA,0,0
51,red maple,19.4,1,NA,0,0
51,red oak,52.4,1,NA,0,0
51,red oak,52.6,1,NA,0,0
51,red oak,52.6,1,NA,0,0
51,white pine,5.3,1,0,0,0
51,white pine,7.5,1,0,0,0
51,white pine,11.4,1,NA,0,0
51,white pine,13,1,NA,0,0
51,white pine,16.4,1,NA,0,0
51,white pine,20.4,1,0,0,0
51,yellow birch,4.6,1,0,0,0
51,yellow birch,50.9,1,0,0,0
54,witch hazel,NA,2,0,0,0
54,black birch,7.5,1,NA,0,0
54,black birch,18.4,1,NA,0,0
54,red maple,20.7,1,NA,0,0
54,red maple,22.9,1,NA,0,0
54,red maple,23.2,1,NA,0,0
54,sugar maple,9.3,1,0,0,0
54,sugar maple,26.2,1,NA,0,0
54,white ash,14.9,1,NA,0,0
54,white ash,16.4,1,NA,0,0
54,white ash,17.8,1,NA,0,0
54,white pine,6.2,1,0,0,0
54,white pine,7.1,1,0,0,0
54,yellow birch,3,1,0,0,0
54,yellow birch,6.7,1,0,0,0
54,yellow birch,9.8,1,NA,0,0
61,alder,NA,4,0,0,0
61,hawthorn,NA,1,0,0,0
61,high bush blueberry,NA,2,0,0,0
61,nannyberry,NA,1,1,0,0
61,winterberry,NA,1,1,0,0
61,white pine,1.2,1,0,0,0
61,chestnut,3.9,1,0,0,0
61,red maple,30.5,1,NA,0,0
61,red maple,33.8,1,1,0,0
61,red maple,52.3,1,1,0,0
61,white pine,5.1,1,0,0,0
61,white pine,19.4,1,NA,0,0
61,yellow birch,3,1,1,0,0
61,yellow birch,3.8,1,0,0,0
61,yellow birch,9.9,1,0,0,0
61,yellow birch,11.7,1,1,0,0
61,yellow birch,12.9,1,0,0,0
61,yellow birch,14.4,1,NA,0,0
61,yellow birch,15.6,1,0,0,0
61,yellow birch,22.8,1,1,0,0
61,yellow birch,33.5,1,1,0,0
64,hemlock,7.6,1,1,0,0
64,hemlock,10.8,1,1,0,0
64,hemlock,19,1,NA,0,0
64,hemlock,20.8,1,1,0,0
64,hemlock,26.5,1,NA,0,0
64,hemlock,42.1,1,1,0,0
64,hemlock,48.7,1,NA,0,0
64,hemlock ,66,1,NA,0,0
64,red maple,8.2,1,NA,0,0
64,red maple,18.2,1,0,0,0
64,red maple,20.6,1,NA,0,0
64,red oak,67,1,NA,0,0
64,white pine,32.1,1,NA,0,0
64,white pine,48.6,1,NA,0,0
66,red maple,NA,11,0,0,0
66,high bush blueberry,NA,1,0,0,0
66,hazelnut,NA,3,0,0,0
66,white pine,NA,1,0,0,0
66,red oak,NA,4,0,0,0
66,black birch,NA,1,0,0,0
66,red maple,NA,2,1,0,0
66,red maple,NA,1,1,0,1
66,black cherry,NA,4,0,0,0
66,winterberry,NA,11,0,0,0
66,lyonia,NA,1,0,0,0
66,black birch,NA,1,0,0,0
66,black birch,NA,1,1,0,0
66,american elm,10.9,1,0,0,0
66,black birch,2.8,1,0,0,0
66,black birch ,5.4,1,0,0,0
66,black cherry,2.6,1,0,0,0
66,black cherry,4.8,1,0,0,0
66,black cherry,21.4,1,NA,0,0
66,chestnut,2.7,1,0,0,0
66,chestnut,3.7,1,0,0,0
66,red maple,2.5,1,0,0,0
66,red maple,2.5,1,0,0,0
66,red maple,2.7,1,0,0,0
66,red maple,2.7,1,0,0,0
66,red maple,2.9,1,0,0,0
66,red maple,2.9,1,1,0,0
66,red maple,3.1,1,0,0,0
66,red maple,3.3,1,0,0,0
66,red maple,3.4,1,0,0,0
66,red maple,3.5,1,0,0,0
66,red maple,3.6,1,0,0,0
66,red maple,4,1,0,0,0
66,red maple,4.4,1,0,0,0
66,red maple,4.4,1,0,0,0
66,red maple,4.5,1,0,0,0
66,red maple,4.5,1,0,0,0
66,red maple,4.7,1,0,0,0
66,red maple,5,1,0,0,0
66,red maple,5.2,1,0,0,0
66,red maple,6.2,1,NA,0,0
66,red maple,6.5,1,0,0,0
66,red maple,8.3,1,NA,0,0
66,red maple,9.3,1,0,0,0
66,red maple,20.1,1,NA,0,0
66,red oak,2.5,1,0,0,0
66,red oak,3,1,0,0,0
66,red oak,4.1,1,0,0,0
66,red oak,12.3,1,0,0,0
66,shadbush,3.9,1,0,0,0
66,sugar maple,9.8,1,NA,0,0
66,white ash,14.5,1,NA,0,0
66,white pine,2.5,1,0,0,0
66,white pine,6.6,1,0,0,0
66,white pine,9.2,1,0,0,0
66,white pine,9.8,1,0,0,0
75,musclewood,NA,8,0,0,0
75,shadbush,NA,3,1,0,0
75,shadbush,NA,2,0,0,0
75,high bush blueberry,NA,1,0,0,0
75,high bush blueberry,NA,1,1,0,0
75,white pine,NA,2,0,0,0
75,winterberry,NA,4,0,0,0
75,black cherry,4.3,1,0,0,0
75,Carpinus,6.4,1,1,0,0
75,hickory,2.5,1,0,0,0
75,hickory,7.7,1,NA,0,0
75,hickory,14,1,NA,0,0
75,musclewood,2.6,1,0,0,0
75,musclewood,2.9,1,0,0,0
75,musclewood,3.2,1,0,0,0
75,musclewood,3.4,1,0,0,0
75,musclewood,3.6,1,1,0,0
75,musclewood,3.7,1,0,0,0
75,musclewood,3.7,1,0,0,0
75,musclewood,3.8,1,0,0,0
75,musclewood,4.1,1,0,0,0
75,musclewood,4.3,1,0,0,0
75,musclewood,4.3,1,0,0,0
75,musclewood,4.4,1,1,0,0
75,musclewood,4.5,1,1,0,0
75,musclewood,4.7,1,0,0,0
75,musclewood,4.8,1,0,0,0
75,musclewood,5.1,1,1,0,0
75,musclewood,5.2,1,0,0,0
75,musclewood,5.2,1,0,0,0
75,musclewood,5.3,1,0,0,0
75,musclewood,5.4,1,0,0,0
75,musclewood,6.8,1,0,0,0
75,musclewood,7.2,1,NA,0,0
75,musclewood,7.4,1,NA,0,0
75,musclewood,7.5,1,0,0,0
75,musclewood,7.5,1,NA,0,0
75,musclewood,7.8,1,0,0,0
75,musclewood,7.9,1,NA,0,0
75,musclewood,8.1,1,NA,0,0
75,musclewood,9.7,1,NA,0,0
75,musclewood,10.1,1,NA,0,0
75,red maple,6.4,1,NA,0,0
75,red maple,8.3,1,NA,0,0
75,red maple,12.6,1,NA,0,0
75,red maple,33.9,1,NA,0,0
75,red oak,4.7,1,0,0,0
75,shadbush,3.6,1,0,0,0
75,white oak,42.2,1,NA,0,0
75,white pine,6,1,0,0,0
75,white pine,15.9,1,NA,0,0
