"","plot","browse_index","lat","elev_m","dist_h2o_m","hilltop","swamp","wetland_forest","tall_shrubs","dist_conifer_m","hemlock_ba","sugar_maple_ba","red_maple_ba","spruce_fir_ba","oak_ba","white_pine_ba","harvest_intensity_m2.ha","watershed","deer_density","harvest","dist_dev_m"
"1",45,45.66115702,4702553.352,280,182,FALSE,FALSE,FALSE,0,216,0,0,0,0,82,15,NA,"Quabbin",1.2,TRUE,1000
"2",51,0,4686139,202,396,FALSE,FALSE,FALSE,6,391,0,0,9,0,63,8,0,"Quabbin",3,FALSE,206
"3",54,0,4692800,293,172,FALSE,FALSE,FALSE,2,248,0,21,40,0,0,2,0,"Quabbin",NA,FALSE,896
"4",61,42.14876033,4700368.573,277,349,FALSE,FALSE,FALSE,9,167,0,0,61,0,1,5,0,"Ware River",NA,FALSE,673
"5",64,77.7892562,4696612.276,230,185,FALSE,FALSE,FALSE,0,8,54,0,4,0,24,18,0,"Quabbin",NA,FALSE,1000
"6",66,10.95041322,4699524.566,266,710,FALSE,FALSE,FALSE,16,23,0,4,38,0,9,10,0,"Ware River",NA,FALSE,842
"7",75,27.89256198,4698096.28,243,418,FALSE,FALSE,FALSE,12,27,0,0,29,0,37,6,0,"Ware River",NA,FALSE,342
"8",80,0,4695224.611,176,146,FALSE,FALSE,FALSE,0,36,84,0,11,0,0.3,4,49.7,"Quabbin",4.7,TRUE,341
"9",81,0,4694758,187,138,FALSE,FALSE,FALSE,0,75,52,0,1,0,10,34,101.9,"Quabbin",4.7,TRUE,1000
"10",84,19.73140496,4693963.383,260,267,FALSE,FALSE,FALSE,8,74,0,0,88,0,3,5,0,"Quabbin",1.2,FALSE,1000
"11",90,83.26446281,4701714,316,380,FALSE,FALSE,FALSE,0,421,0,0,2,0,32,61,91.4,"Quabbin",1.2,TRUE,1000
"12",92,0,4692566,279,428,FALSE,FALSE,FALSE,0,305,0,0,8,0,91,0.4,0,"Quabbin",4.7,FALSE,221
"13",100,67.14876033,4700645.37,295,188,FALSE,FALSE,FALSE,0,11,28,0,10,0,16,23,0,"Ware River",NA,FALSE,1000
"14",102,0,4706730,240,379,FALSE,FALSE,FALSE,0,425,0,0,0.3,0,2,16,9.1,"Quabbin",4.8,TRUE,307
"15",103,18.0785124,4708639.266,244,364,FALSE,FALSE,FALSE,3,224,0,0,29,0,21,4,0,"Quabbin",4.8,FALSE,510
"16",104,57.43801653,4705550,255,569,FALSE,FALSE,FALSE,10,77,0,0,0.8,0,6,86,134,"Quabbin",4.8,TRUE,955
"17",105,0,4694730,222,595,FALSE,FALSE,FALSE,6,65,0,0,86,0,0,4,0,"Quabbin",4.7,FALSE,1000
"18",107,12.19008264,4692976.796,285,338,FALSE,FALSE,FALSE,0,202,0,0,2,0,95,2,0,"Quabbin",1.2,FALSE,1000
"19",108,16.73553719,4690352.747,209,205,FALSE,FALSE,FALSE,0,318,0,0,38,0,69,4,0,"Quabbin",1.2,FALSE,1000
"20",113,0,4699694,208,173,FALSE,FALSE,FALSE,1,152,0,0,2,0,19,63,0,"Ware River",NA,FALSE,856
"21",115,86.98347107,4698973.074,239,248,FALSE,FALSE,FALSE,10,64,0,0,22,0.2,10,43,45.8,"Ware River",NA,TRUE,721
"22",119,97.52066116,4697466.045,269,186,FALSE,FALSE,FALSE,0,0,0,0,0.9,0,1,96,0,"Ware River",NA,FALSE,1000
"23",120,11.88016529,4695930.369,272,95,FALSE,FALSE,FALSE,0,0,0,0,3,0,2,43,0,"Ware River",NA,FALSE,832
"24",125,0,4691639,296,165,FALSE,FALSE,FALSE,0,859,0,0,5,0,15,76,0,"Quabbin",4.7,FALSE,851
