"","plot","species","dbh_cm","count","Interaction.name","Interaction"
"1","45","black birch",NA,1,"browsed",0
"2","45","black birch",NA,1,"stripped",0
"3","45","black birch",NA,1,"broken",0
"4","45","chestnut",NA,1,"browsed",1
"5","45","chestnut",NA,1,"stripped",0
"6","45","chestnut",NA,1,"broken",0
"7","45","black birch",2.5,1,"browsed",1
"8","45","black birch",2.5,1,"stripped",0
"9","45","black birch",2.5,1,"broken",0
"10","45","black birch",3.4,1,"browsed",0
"11","45","black birch",3.4,1,"stripped",0
"12","45","black birch",3.4,1,"broken",0
"13","45","black birch",3.8,1,"browsed",0
"14","45","black birch",3.8,1,"stripped",0
"15","45","black birch",3.8,1,"broken",0
"16","45","black birch",8.4,1,"browsed",0
"17","45","black birch",8.4,1,"stripped",0
"18","45","black birch",8.4,1,"broken",0
"19","45","black birch",9,1,"browsed",1
"20","45","black birch",9,1,"stripped",0
"21","45","black birch",9,1,"broken",0
"22","45","black birch",11.2,1,"browsed",0
"23","45","black birch",11.2,1,"stripped",0
"24","45","black birch",11.2,1,"broken",0
"25","45","red oak",47.7,1,"browsed",NA
"26","45","red oak",47.7,1,"stripped",0
"27","45","red oak",47.7,1,"broken",0
"28","45","red oak",63.3,1,"browsed",NA
"29","45","red oak",63.3,1,"stripped",0
"30","45","red oak",63.3,1,"broken",0
"31","45","white oak",42.4,1,"browsed",NA
"32","45","white oak",42.4,1,"stripped",0
"33","45","white oak",42.4,1,"broken",0
"34","45","white pine",14.9,1,"browsed",NA
"35","45","white pine",14.9,1,"stripped",0
"36","45","white pine",14.9,1,"broken",0
"37","45","white pine",17.5,1,"browsed",NA
"38","45","white pine",17.5,1,"stripped",0
"39","45","white pine",17.5,1,"broken",0
"40","45","white pine",20.5,1,"browsed",NA
"41","45","white pine",20.5,1,"stripped",0
"42","45","white pine",20.5,1,"broken",0
"43","45","white pine",20.9,1,"browsed",NA
"44","45","white pine",20.9,1,"stripped",0
"45","45","white pine",20.9,1,"broken",0
"46","51","high bush blueberry",NA,6,"browsed",0
"47","51","high bush blueberry",NA,6,"stripped",0
"48","51","high bush blueberry",NA,6,"broken",0
"49","51","red maple",3,1,"browsed",0
"50","51","red maple",3,1,"stripped",0
"51","51","red maple",3,1,"broken",0
"52","51","red maple",9,1,"browsed",NA
"53","51","red maple",9,1,"stripped",0
"54","51","red maple",9,1,"broken",0
"55","51","red maple",12.2,1,"browsed",NA
"56","51","red maple",12.2,1,"stripped",0
"57","51","red maple",12.2,1,"broken",0
"58","51","red maple",13,1,"browsed",0
"59","51","red maple",13,1,"stripped",0
"60","51","red maple",13,1,"broken",0
"61","51","red maple",13.9,1,"browsed",NA
"62","51","red maple",13.9,1,"stripped",0
"63","51","red maple",13.9,1,"broken",0
"64","51","red maple",15.9,1,"browsed",NA
"65","51","red maple",15.9,1,"stripped",0
"66","51","red maple",15.9,1,"broken",0
"67","51","red maple",19.4,1,"browsed",NA
"68","51","red maple",19.4,1,"stripped",0
"69","51","red maple",19.4,1,"broken",0
"70","51","red oak",52.4,1,"browsed",NA
"71","51","red oak",52.4,1,"stripped",0
"72","51","red oak",52.4,1,"broken",0
"73","51","red oak",52.6,1,"browsed",NA
"74","51","red oak",52.6,1,"stripped",0
"75","51","red oak",52.6,1,"broken",0
"76","51","red oak",52.6,1,"browsed",NA
"77","51","red oak",52.6,1,"stripped",0
"78","51","red oak",52.6,1,"broken",0
"79","51","white pine",5.3,1,"browsed",0
"80","51","white pine",5.3,1,"stripped",0
"81","51","white pine",5.3,1,"broken",0
"82","51","white pine",7.5,1,"browsed",0
"83","51","white pine",7.5,1,"stripped",0
"84","51","white pine",7.5,1,"broken",0
"85","51","white pine",11.4,1,"browsed",NA
"86","51","white pine",11.4,1,"stripped",0
"87","51","white pine",11.4,1,"broken",0
"88","51","white pine",13,1,"browsed",NA
"89","51","white pine",13,1,"stripped",0
"90","51","white pine",13,1,"broken",0
"91","51","white pine",16.4,1,"browsed",NA
"92","51","white pine",16.4,1,"stripped",0
"93","51","white pine",16.4,1,"broken",0
"94","51","white pine",20.4,1,"browsed",0
"95","51","white pine",20.4,1,"stripped",0
"96","51","white pine",20.4,1,"broken",0
"97","51","yellow birch",4.6,1,"browsed",0
"98","51","yellow birch",4.6,1,"stripped",0
"99","51","yellow birch",4.6,1,"broken",0
"100","51","yellow birch",50.9,1,"browsed",0
"101","51","yellow birch",50.9,1,"stripped",0
"102","51","yellow birch",50.9,1,"broken",0
"103","54","witch hazel",NA,2,"browsed",0
"104","54","witch hazel",NA,2,"stripped",0
"105","54","witch hazel",NA,2,"broken",0
"106","54","black birch",7.5,1,"browsed",NA
"107","54","black birch",7.5,1,"stripped",0
"108","54","black birch",7.5,1,"broken",0
"109","54","black birch",18.4,1,"browsed",NA
"110","54","black birch",18.4,1,"stripped",0
"111","54","black birch",18.4,1,"broken",0
"112","54","red maple",20.7,1,"browsed",NA
"113","54","red maple",20.7,1,"stripped",0
"114","54","red maple",20.7,1,"broken",0
"115","54","red maple",22.9,1,"browsed",NA
"116","54","red maple",22.9,1,"stripped",0
"117","54","red maple",22.9,1,"broken",0
"118","54","red maple",23.2,1,"browsed",NA
"119","54","red maple",23.2,1,"stripped",0
"120","54","red maple",23.2,1,"broken",0
"121","54","sugar maple",9.3,1,"browsed",0
"122","54","sugar maple",9.3,1,"stripped",0
"123","54","sugar maple",9.3,1,"broken",0
"124","54","sugar maple",26.2,1,"browsed",NA
"125","54","sugar maple",26.2,1,"stripped",0
"126","54","sugar maple",26.2,1,"broken",0
"127","54","white ash",14.9,1,"browsed",NA
"128","54","white ash",14.9,1,"stripped",0
"129","54","white ash",14.9,1,"broken",0
"130","54","white ash",16.4,1,"browsed",NA
"131","54","white ash",16.4,1,"stripped",0
"132","54","white ash",16.4,1,"broken",0
"133","54","white ash",17.8,1,"browsed",NA
"134","54","white ash",17.8,1,"stripped",0
"135","54","white ash",17.8,1,"broken",0
"136","54","white pine",6.2,1,"browsed",0
"137","54","white pine",6.2,1,"stripped",0
