"X","plot","browse_index","lat","elev_m","dist_h2o_m","hilltop","tall_shrubs","dist_conifer_m","hemlock_ba","sugar_maple_ba","red_maple_ba","oak_ba","white_pine_ba","harvest_intensity_m2.ha","deer_density","dist_dev_m"
2,51,0,4686139,202,396,0,6,391,0,0,9,63,8,0,3,206
8,80,0,4695224.611,176,146,0,0,36,84,0,11,0.3,4,49.7,4.7,341
9,81,0,4694758,187,138,0,0,75,52,0,1,10,34,101.9,4.7,1000
10,84,19.73140496,4693963.383,260,267,0,8,74,0,0,88,3,5,0,1.2,1000
11,90,83.26446281,4701714,316,380,0,0,421,0,0,2,32,61,91.4,1.2,1000
12,92,0,4692566,279,428,0,0,305,0,0,8,91,0.4,0,4.7,221
14,102,0,4706730,240,379,0,0,425,0,0,0.3,2,16,9.1,4.8,307
15,103,18.0785124,4708639.266,244,364,0,3,224,0,0,29,21,4,0,4.8,510
16,104,57.43801653,4705550,255,569,0,10,77,0,0,0.8,6,86,134,4.8,955
17,105,0,4694730,222,595,0,6,65,0,0,86,0,4,0,4.7,1000
18,107,12.19008264,4692976.796,285,338,0,0,202,0,0,2,95,2,0,1.2,1000
19,108,16.73553719,4690352.747,209,205,0,0,318,0,0,38,69,4,0,1.2,1000
24,125,0,4691639,296,165,0,0,859,0,0,5,15,76,0,4.7,851
25,130,0,4689802,226,75,0,1,1095,27,0,9,31,0,0,4.7,580
29,141,0,4708151,180,209,0,26,49,0,0,19,41,41,0,1.9,1000
37,166,0,4697815,225,390,0,0,165,1,0,1,11,24,80.1,4.7,659
38,168,3.099173554,4697830.354,195,190,0,0,115,0,0,3,66,14,48.3,4.8,1000
41,174,36.26033058,4702665,205,305,0,2,35,44,0,9,41,0,0,4.8,591
45,185,3.099173554,4698582,268,511,0,9,183,0,0,80,0,11,0,3,1000
46,186,0,4709738,243,505,0,0,193,0,0,18,63,8,0,1.9,1000
47,187,0,4710001,203,310,0,0,132,37,0,2,9,0,0,1.9,725
53,219,15.59917355,4699052,287,279,0,0,430,0,0,0,0,0,0,1.2,1000
54,222,15.59917355,4699297,245,307,0,1,22,0,11,0,0.3,0.4,0,1.2,1000
57,233,8.161157025,4688858,191,211,0,0,58,0,0,19,77,2,60.3,1.2,1000
58,237,17.56198347,4691134,259,197,0,8,58,0,2,46,0,2,0,3,714
63,257,16.42561983,4695780,292,586,0,3,56,0,0,63,0,2,114.9,1.2,851
64,258,59.91735537,4696943.9,247,24,0,2,337,0,8,1,0,0,174.6,1.2,1000
65,268,0,4705382,188,429,0,0,493,32,0,9,31,23,0,4.8,1000
66,269,0,4703307,234,641,0,0,315,0,1,43,0,3,0,4.8,1000
67,272,0,4699250,173,228,0,0,30,0,7,19,50,1,0,4.8,595
68,276,75.20661157,4700787,201,426,0,0,420,62,0,0,33,3,113.2,4.8,1000
70,299,77.47933884,4706595,312,272,0,6,303,19,0,40,0,0,0,1.9,820
75,324,90.18595041,4692781,198,20,0,0,55,49,0,13,26,0,0,4.7,1000
76,328,0,4706625,227,27,0,1,103,12,2,38,25,9,0,1.9,537
77,332,5.371900826,4710540,165,80,0,1,308,0,0,42,17,37,0,1.9,441
88,382,0,4702008,168,0,0,24,5,0,1,60,0,0.1,0,4.8,295
97,410,0,4709311,165,0,0,76,32,1,0,11,0,20,0,1.9,418
98,411,94.21487603,4701395,274,496,1,0,246,0,0,3,77,20,0,4.8,1000
99,412,0,4702536,306,558,1,0,596,0,0,0.2,59,38,0,4.8,1000
100,416,23.55371901,4698291,276,522,1,0,366,0,0,4,54,0.4,0,4.8,1000
